date,ticker,action,price
2022-04-11,HDFCBANK,BUY,1496.15
2022-04-11,BAJFINANCE,BUY,7336.6499
2022-04-18,RELIANCE,SELL,1154.72860397
2022-04-18,HDFCBANK,SELL,1395.45
2022-04-18,BHARTIARTL,SELL,729.5
2022-04-19,RELIANCE,BUY,1198.7370236
2022-04-20,BAJFINANCE,SELL,7032.5
2022-04-25,SBIN,SELL,494.75
2022-04-26,BHARTIARTL,BUY,756.29999
2022-04-28,RELIANCE,SELL,1280.01314597
2022-04-29,RELIANCE,BUY,1266.57678737
2022-05-04,RELIANCE,SELL,1222.72715228
2022-05-04,BHARTIARTL,SELL,722.40002
2022-05-19,ITC,SELL,260.19619071
2022-05-20,RELIANCE,BUY,1191.31527627
2022-05-20,ITC,BUY,264.30232556
2022-05-23,RELIANCE,SELL,1183.34876816
2022-05-24,RELIANCE,BUY,1187.41152797
2022-05-24,HINDUNILVR,BUY,2309.6499
2022-05-24,ITC,SELL,255.66531257
2022-05-25,ITC,BUY,257.4115958
2022-06-03,RELIANCE,SELL,1261.69704525
2022-06-06,RELIANCE,BUY,1256.27258773
2022-06-07,HINDUNILVR,SELL,2211.6001
2022-06-13,RELIANCE,SELL,1208.76882016
2022-06-15,ITC,SELL,248.63296396
2022-06-21,ITC,BUY,254.76855366
2022-06-23,HINDUNILVR,BUY,2252.6001
2022-07-04,ITC,SELL,275.53516496
2022-07-05,HINDUNILVR,SELL,2401.5
2022-07-05,ITC,BUY,270.81548057
2022-07-06,HINDUNILVR,BUY,2498.3999
2022-07-15,ICICIBANK,BUY,751.20001
2022-07-21,SBIN,BUY,512.04999
2022-07-22,ICICIBANK,SELL,800.04999
2022-07-25,ICICIBANK,BUY,800.90002
2022-07-27,ITC,SELL,287.0983917
2022-07-28,ITC,BUY,286.43765477
2022-08-02,HDFCBANK,BUY,1430.25
2022-08-03,BAJFINANCE,BUY,7296.3501
2022-08-08,HINDUNILVR,SELL,2650.3501
2022-08-10,HINDUNILVR,BUY,2642.8
2022-08-11,ICICIBANK,SELL,859.70001
2022-08-12,ICICIBANK,BUY,874.40002
2022-08-18,INFY,BUY,1582.95
2022-08-23,BHARTIARTL,BUY,737.59998
2022-08-25,RELIANCE,BUY,1194.76514048
2022-08-25,INFY,SELL,1518.15
